Serial No,Location,Apartment_size,Bed,Bath,Price,Area
0,"Block H, Bashundhara R-A, Dhaka",1600,3,3,20000,Bashundhara
1,"Farmgate, Tejgaon, Dhaka",900,2,2,20000,Farmgate
2,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",1250,3,3,18000,Mohammadpur
3,"Gulshan 1, Gulshan, Dhaka",2200,3,4,75000,Gulshan
4,"Baridhara, Dhaka",2200,3,3,75000,Baridhara
5,"Bashundhara R-A, Dhaka",3000,4,5,50000,Bashundhara
6,"Baridhara, Dhaka",2300,3,3,75000,Baridhara
7,"PC Culture Housing, Mohammadpur, Dhaka",950,2,2,14000,Mohammadpur
8,"Jigatola, Hazaribag, Dhaka",1600,3,3,28000,Hazaribag
9,"West Kazipara, Mirpur, Dhaka",1150,3,3,19000,Mirpur
10,"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000,Bashundhara
11,"Block J, Bashundhara R-A, Dhaka",1250,3,3,19000,Bashundhara
12,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara
13,"Nikunja 2, Nikunja, Dhaka",750,2,2,16000,Nikunja
14,"Sector 6, Uttara, Dhaka",1850,3,3,40000,Uttara
15,"Block D, Bashundhara R-A, Dhaka",1300,3,3,35000,Bashundhara
16,"Khilgaon, Dhaka",1200,3,3,18000,Khilgaon
17,"Block K, Baridhara, Dhaka",3000,4,4,160000,Baridhara
18,"Ibrahimpur, Dhaka",1050,3,3,25000,Ibrahimpur
19,"Ibrahimpur, Dhaka",1050,3,3,25000,Ibrahimpur
20,"Sector 5, Uttara, Dhaka",1400,3,2,30000,Uttara
21,"PC Culture Housing, Mohammadpur, Dhaka",1150,3,3,19000,Mohammadpur
22,"Block D, Bashundhara R-A, Dhaka",2100,3,4,40000,Bashundhara
23,"Nurer Chala, Badda, Dhaka",800,2,2,18630,Badda
24,"Block F, Bashundhara R-A, Dhaka",900,2,2,19000,Bashundhara
25,"Sector 4, Uttara, Dhaka",1500,3,3,32000,Uttara
26,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara
27,"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000,Bashundhara
28,"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000,Bashundhara
29,"Rajabazar, Tejgaon, Dhaka",650,2,2,18000,Tejgaon
30,"Baridhara, Dhaka",1524,3,3,100000,Baridhara
31,"Khilgaon, Dhaka",1100,3,2,19000,Khilgaon
32,"Sector 9, Uttara, Dhaka",1500,3,4,35000,Uttara
33,"Gulshan 1, Gulshan, Dhaka",3500,4,4,200000,Gulshan
34,"Sector 9, Uttara, Dhaka",850,2,2,25000,Uttara
35,"Sector 14, Uttara, Dhaka",1400,3,4,32000,Uttara
36,"Block D, Section 12, Mirpur, Dhaka",650,2,2,10000,Mirpur
37,"Block G, Bashundhara R-A, Dhaka",1750,3,4,30000,Bashundhara
38,"Baitul Aman Housing Society, Adabor, Dhaka",1200,3,2,20000,Adabor
39,"Kajla, Jatra Bari, Dhaka",800,3,2,15000,Jatra Bari
40,"Sector 11, Uttara, Dhaka",1617,3,4,30000,Uttara
41,"Sector 7, Uttara, Dhaka",1350,3,3,27000,Uttara
42,"Gulshan 2, Gulshan, Dhaka",1600,3,3,50000,Gulshan
43,"Sector 10, Uttara, Dhaka",1900,3,4,50000,Uttara
44,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",900,2,3,16000,Mohammadpur
45,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara
46,"West Malibag, Malibagh, Dhaka",950,2,2,19000,Malibagh
47,"Banani, Dhaka",2600,3,4,75000,Banani
48,"Sector 10, Uttara, Dhaka",1500,3,3,24000,Uttara
49,"Block A, Bashundhara R-A, Dhaka",1860,3,4,38000,Bashundhara
50,"Banani, Dhaka",2200,3,4,80000,Banani
51,"Gulshan 2, Gulshan, Dhaka",3000,4,4,150000,Gulshan
52,"Gulshan 2, Gulshan, Dhaka",3200,4,4,120000,Gulshan
53,"Kakrail, Dhaka",1895,3,4,40000,Kakrail
54,"Block G, Bashundhara R-A, Dhaka",1400,3,3,28000,Bashundhara
55,"Block I, Bashundhara R-A, Dhaka",1500,3,4,25000,Bashundhara
56,"Malibagh, Dhaka",1360,3,3,30000,Malibagh
57,"Malibagh, Dhaka",1300,3,3,30000,Malibagh
58,"Block J, Bashundhara R-A, Dhaka",1000,3,2,18000,Bashundhara
59,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",1000,3,2,18000,Dhanmondi
60,"Block F, Bashundhara R-A, Dhaka",1500,3,4,30000,Bashundhara
61,"Block F, Bashundhara R-A, Dhaka",1800,3,4,30000,Bashundhara
62,"Sector 5, Uttara, Dhaka",2150,3,3,50000,Uttara
63,"Block J, Bashundhara R-A, Dhaka",1000,3,2,18000,Bashundhara
64,"Sector 10, Uttara, Dhaka",1500,3,3,25000,Uttara
65,"Block J, Bashundhara R-A, Dhaka",2000,3,3,26000,Bashundhara
66,"Gulshan 1, Gulshan, Dhaka",3680,3,4,200000,Gulshan
67,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara
68,"Maghbazar, Dhaka",1058,2,2,28000,Maghbazar
69,"Block I Extension, Bashundhara R-A, Dhaka",2420,3,4,45000,Bashundhara
70,"West Kalachandpur, Kalachandpur, Dhaka",900,2,2,16000,Kalachandpur
71,"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000,Bashundhara
72,"Sector 3, Uttara, Dhaka",1650,3,3,35000,Uttara
73,"Badda, Dhaka",1250,3,3,25000,Badda
74,"Mohammadpur, Dhaka",2700,3,3,60000,Mohammadpur
