Serial No,Location,Apartment_size,Bed,Bath,Price,Area,Area_code
0,"Block H, Bashundhara R-A, Dhaka",1600,3,3,20000,Bashundhara,10
1,"Farmgate, Tejgaon, Dhaka",900,2,2,20000,Farmgate,17
2,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",1250,3,3,18000,Mohammadpur,46
3,"Gulshan 1, Gulshan, Dhaka",2200,3,4,75000,Gulshan,18
4,"Baridhara, Dhaka",2200,3,3,75000,Baridhara,8
5,"Bashundhara R-A, Dhaka",3000,4,5,50000,Bashundhara,10
6,"Baridhara, Dhaka",2300,3,3,75000,Baridhara,8
7,"PC Culture Housing, Mohammadpur, Dhaka",950,2,2,14000,Mohammadpur,46
8,"Jigatola, Hazaribag, Dhaka",1600,3,3,28000,Hazaribag,20
9,"West Kazipara, Mirpur, Dhaka",1150,3,3,19000,Mirpur,44
10,"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000,Bashundhara,10
11,"Block J, Bashundhara R-A, Dhaka",1250,3,3,19000,Bashundhara,10
12,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara,10
13,"Nikunja 2, Nikunja, Dhaka",750,2,2,16000,Nikunja,52
14,"Sector 6, Uttara, Dhaka",1850,3,3,40000,Uttara,72
15,"Block D, Bashundhara R-A, Dhaka",1300,3,3,35000,Bashundhara,10
16,"Khilgaon, Dhaka",1200,3,3,18000,Khilgaon,33
17,"Block K, Baridhara, Dhaka",3000,4,4,160000,Baridhara,8
18,"Ibrahimpur, Dhaka",1050,3,3,25000,Ibrahimpur,21
19,"Ibrahimpur, Dhaka",1050,3,3,25000,Ibrahimpur,21
20,"Sector 5, Uttara, Dhaka",1400,3,2,30000,Uttara,72
21,"PC Culture Housing, Mohammadpur, Dhaka",1150,3,3,19000,Mohammadpur,46
22,"Block D, Bashundhara R-A, Dhaka",2100,3,4,40000,Bashundhara,10
23,"Nurer Chala, Badda, Dhaka",800,2,2,18630,Badda,3
24,"Block F, Bashundhara R-A, Dhaka",900,2,2,19000,Bashundhara,10
25,"Sector 4, Uttara, Dhaka",1500,3,3,32000,Uttara,72
26,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara,10
27,"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000,Bashundhara,10
28,"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000,Bashundhara,10
29,"Rajabazar, Tejgaon, Dhaka",650,2,2,18000,Tejgaon,69
30,"Baridhara, Dhaka",1524,3,3,100000,Baridhara,8
31,"Khilgaon, Dhaka",1100,3,2,19000,Khilgaon,33
32,"Sector 9, Uttara, Dhaka",1500,3,4,35000,Uttara,72
33,"Gulshan 1, Gulshan, Dhaka",3500,4,4,200000,Gulshan,18
34,"Sector 9, Uttara, Dhaka",850,2,2,25000,Uttara,72
35,"Sector 14, Uttara, Dhaka",1400,3,4,32000,Uttara,72
36,"Block D, Section 12, Mirpur, Dhaka",650,2,2,10000,Mirpur,44
37,"Block G, Bashundhara R-A, Dhaka",1750,3,4,30000,Bashundhara,10
38,"Baitul Aman Housing Society, Adabor, Dhaka",1200,3,2,20000,Adabor,0
39,"Kajla, Jatra Bari, Dhaka",800,3,2,15000,Jatra Bari,22
40,"Sector 11, Uttara, Dhaka",1617,3,4,30000,Uttara,72
41,"Sector 7, Uttara, Dhaka",1350,3,3,27000,Uttara,72
42,"Gulshan 2, Gulshan, Dhaka",1600,3,3,50000,Gulshan,18
43,"Sector 10, Uttara, Dhaka",1900,3,4,50000,Uttara,72
44,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",900,2,3,16000,Mohammadpur,46
45,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara,10
46,"West Malibag, Malibagh, Dhaka",950,2,2,19000,Malibagh,41
47,"Banani, Dhaka",2600,3,4,75000,Banani,4
48,"Sector 10, Uttara, Dhaka",1500,3,3,24000,Uttara,72
49,"Block A, Bashundhara R-A, Dhaka",1860,3,4,38000,Bashundhara,10
50,"Banani, Dhaka",2200,3,4,80000,Banani,4
51,"Gulshan 2, Gulshan, Dhaka",3000,4,4,150000,Gulshan,18
52,"Gulshan 2, Gulshan, Dhaka",3200,4,4,120000,Gulshan,18
53,"Kakrail, Dhaka",1895,3,4,40000,Kakrail,27
54,"Block G, Bashundhara R-A, Dhaka",1400,3,3,28000,Bashundhara,10
55,"Block I, Bashundhara R-A, Dhaka",1500,3,4,25000,Bashundhara,10
56,"Malibagh, Dhaka",1360,3,3,30000,Malibagh,41
57,"Malibagh, Dhaka",1300,3,3,30000,Malibagh,41
58,"Block J, Bashundhara R-A, Dhaka",1000,3,2,18000,Bashundhara,10
59,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",1000,3,2,18000,Dhanmondi,14
60,"Block F, Bashundhara R-A, Dhaka",1500,3,4,30000,Bashundhara,10
61,"Block F, Bashundhara R-A, Dhaka",1800,3,4,30000,Bashundhara,10
62,"Sector 5, Uttara, Dhaka",2150,3,3,50000,Uttara,72
