bmi,Food_price
36,3769
33,4486
32,3702
22,4338
40,4146
36,3906
26,4038
24,4417
40,4338
17,4340
32,4137
17,3764
37,4257
23,4258
30,3984
18,4111
30,4248
34,4408
31,3810
36,4006
30,3751
24,3983
24,4090
38,3771
34,3971
29,3760
20,3830
18,4311
39,4139
33,4327
20,4205
22,3912
32,4002
23,4455
26,4282
17,4049
17,3948
20,4344
30,3924
33,4495
26,4104
25,4253
38,3848
38,4301
32,3896
39,4048
19,3818
30,3799
19,3641
40,4318
34,4202
23,3703
35,4068
38,4448
38,3996
16,3698
23,4117
36,4261
37,4136
30,4428
23,3928
24,3822
16,3653
19,3962
26,4496
21,4187
33,3748
35,3737
36,3763
28,3689
31,4237
16,4360
22,3924
30,4166
20,4275
25,3921
17,4177
29,4088
21,3701
31,3997
22,3940
35,4483
34,4468
34,4463
33,3911
40,4292
39,3880
25,3902
23,4082
25,4471
38,4472
18,4365
18,3764
37,3861
35,3742
24,4028
20,4290
35,4101
26,4049
16,3907
32,3795
32,4361
22,3990
23,4256
39,4028
27,3921
23,4435
34,4140
25,3879
31,3853
38,4246
22,4367
24,4265
19,4489
35,3867
19,4332
38,4074
36,3920
27,3990
18,3677
23,3673
35,4023
18,4161
34,4470
31,4033
17,4249
37,4038
39,4311
26,4249
24,4127
29,4042
37,4123
38,4373
19,3642
28,3894
28,3842
18,4172
21,4008
39,3815
28,4100
38,4139
20,4185
29,4355
40,3986
37,3694
16,4031
30,4061
33,4316
16,4494
21,4411
30,3788
16,3737
38,3695
17,4051
38,3949
40,4493
19,4346
38,4362
17,3735
21,4191
35,3835
19,4382
35,4497
32,4462
27,4216
31,4426
18,3662
27,3808
25,3808
40,3962
26,3687
16,3793
23,4328
35,4038
37,3924
19,3864
40,3767
21,3953
40,4124
23,4165
19,4057
24,4382
33,4187
16,4492
33,4324
19,4379
37,4353
18,3646
32,4327
25,4424
34,4429
37,4082
20,4228
16,4142
36,4068
29,4163
37,3950
38,4414
31,4423
35,3876
33,3746
38,4451
23,4026
22,3637
39,3759
28,4016
24,4336
17,4172
36,4251
40,3809
22,4349
24,3848
26,3863
26,4366
30,4427
26,4415
24,4045
29,4339
24,3898
25,3944
23,4316
39,4120
28,4109
19,4349
34,3780
22,4367
39,4408
23,4359
32,3992
23,4202
30,4264
30,4142
20,4437
28,4381
35,3976
37,3928
27,4332
20,4465
30,3966
37,4048
23,3808
36,3778
21,4063
25,3644
35,4122
30,3848
38,4207
31,4005
21,3765
23,4307
16,4053
18,3745
35,4189
22,4019
40,4433
17,3622
28,4462
16,3776
23,3973
23,4387
37,4167
32,4093
29,3799
16,3803
25,4033
17,3700
17,3958
16,3883
34,4205
34,4062
26,4357
32,4212
19,3877
34,4287
40,4424
33,4408
38,4411
33,3887
20,3795
36,3737
40,4009
30,4182
29,3684
27,3920
32,4243
18,4213
27,3804
30,3975
37,4359
16,3798
19,3665
30,4351
35,3831
32,4014
28,3754
31,4278
17,4372
17,3678
28,3750
37,3726
19,4239
16,3994
26,4174
38,4114
23,3665
29,4183
29,4015
40,4242
26,3969
23,3692
40,3879
22,4226
18,3641
27,3947
17,3708
29,4309
39,3771
20,3877
34,3778
27,4438
17,4484
30,3754
27,3775
27,3762
30,4231
22,3779
40,3797
34,4196
24,4325
23,3886
28,4456
37,4274
31,4040
16,4398
40,4269
36,4225
16,4341
34,3937
38,3860
21,4185
39,3887
34,3803
39,4410
39,3862
32,4348
31,4492
24,4245
29,4185
33,4336
29,3993
33,4400
21,4184
32,4378
21,4277
24,4122
17,4074
40,4114
20,3707
16,3821
21,4151
22,4169
25,3712
37,4051
16,4176
27,4276
29,4116
25,3772
21,4134
24,3733
26,4186
35,3674
31,4216
31,4470
32,3855
36,4018
29,4249
29,3802
19,4429
34,3918
36,4280
36,4097
38,4089
20,4382
23,4216
32,4419
34,3804
33,4026
38,3684
32,4463
35,4356
38,3757
21,3986
40,4479
25,4062
39,4043
25,4048
17,4196
19,3731
27,4189
27,3670
27,4477
40,3957
28,4069
32,3868
21,4213
38,4307
33,3936
39,3796
22,3749
31,4377
25,3862
39,3773
29,4222
36,4280
31,4418
23,3957
28,3769
26,3655
22,4363
16,4288
23,4409
38,3943
36,3926
21,4498
22,4344
40,3953
22,3639
38,3738
30,4360
25,4262
17,4113
24,4271
25,4174
39,3699
18,4075
28,3976
24,3742
32,4454
39,4148
24,3679
23,3745
17,3939
20,4201
37,4128
36,4126
40,3937
39,3993
36,4154
29,3978
28,3785
21,3787
36,3977
