bmi,Food_price
21,3980
29,3693
39,3833
30,4069
31,4192
21,3927
20,4022
29,3685
21,4083
16,3979
32,4065
23,3758
23,3794
34,3920
23,3986
34,3944
26,3877
40,4129
19,4066
32,3917
30,3939
26,4122
37,3917
22,3873
37,3872
38,3909
22,4156
18,4146
33,4193
16,3796
40,3990
39,3915
30,3657
25,3682
18,3943
35,4073
23,4167
25,4089
23,3899
28,3697
29,4091
36,4166
22,4129
29,3754
28,3831
35,4116
19,3712
16,3719
33,4175
26,4016
20,4134
20,3849
16,3758
23,3712
26,3916
20,4146
19,4092
25,4116
26,3644
40,3948
36,3898
20,3784
34,3740
38,4159
22,3642
28,4183
34,4174
35,4092
25,3777
22,4197
37,4147
39,4046
31,4057
24,3817
39,3856
39,3941
29,4186
32,3849
19,4102
26,3856
39,3824
31,4182
21,4155
25,4124
26,3823
18,4025
35,3678
35,3738
24,3692
35,4095
19,3966
38,4072
26,3951
28,3899
19,4104
22,3682
36,3796
33,3685
24,4102
29,3725
25,4169
20,3771
36,3790
39,4100
37,4067
25,3812
36,3985
34,3964
27,3703
35,3879
31,3872
36,3894
26,3671
26,4023
38,3734
24,3876
32,3876
33,3953
29,4033
34,3977
24,3655
20,4142
23,3972
35,4017
37,3735
20,3918
17,4196
35,4109
25,4147
35,3710
19,3752
19,4044
19,3802
19,4049
24,3798
23,4100
38,3945
32,3854
36,3834
27,4079
31,3711
17,4180
30,3784
32,3935
16,4071
38,3887
37,3904
36,3844
19,4063
26,4172
25,3803
23,3645
38,4058
30,4114
31,4027
39,4196
30,3745
30,4142
34,3842
30,3757
33,3853
36,3830
29,4000
25,4100
31,3836
36,4125
21,3999
25,3949
33,4000
37,4103
28,3962
30,3904
17,3701
35,4097
31,3691
19,3791
25,3934
37,4134
32,3877
27,4097
21,4191
18,4148
34,3859
17,3801
33,4118
23,4059
26,3950
34,3732
26,3877
38,3880
22,3749
34,4177
20,3912
29,4008
30,3776
29,3718
39,3808
38,3785
37,3691
17,3783
34,4080
23,4070
27,4039
32,3960
31,3833
36,3690
23,3839
18,4030
23,3820
33,4065
28,3766
21,4187
19,4087
23,3843
40,4100
28,3873
40,3814
19,3710
34,4121
18,3977
27,3730
39,4066
28,3798
30,3756
30,3819
27,3651
26,3874
39,3775
17,3836
17,3764
28,3835
28,4088
21,4052
29,4081
32,3826
35,4170
27,3944
36,3959
38,3833
22,4104
25,4179
33,4047
24,4084
28,3703
35,3792
29,3739
34,4063
38,3726
27,4052
20,3760
40,3905
17,4167
22,3678
39,3803
19,4123
38,3885
28,4029
26,4113
22,3883
24,3945
28,4145
23,4099
39,3856
29,3880
30,4175
40,3877
38,4163
19,3942
24,4011
24,3767
39,3795
26,3864
29,3857
29,3915
38,4056
32,3900
32,4053
38,4005
22,3870
19,3782
22,3685
26,3984
33,3724
21,3672
30,3761
22,4160
39,4188
27,3761
37,3992
37,3767
27,3758
35,3803
32,4090
18,3757
23,3715
23,3864
28,4038
20,3699
19,4058
25,4102
39,3832
20,4064
40,3746
39,4131
16,3901
37,4070
24,4150
22,3716
39,3828
34,3913
39,3769
37,4117
34,3917
35,3755
32,4124
35,3747
17,3836
22,3675
21,3947
27,3847
19,3965
33,3755
16,3636
32,3920
25,3908
25,3937
25,4006
22,4107
34,3784
18,3943
29,3722
31,3995
24,4069
22,3781
35,3783
30,3817
19,3885
32,3752
21,3628
18,3840
33,4119
18,3709
31,3752
40,3985
32,3680
17,3830
29,4159
21,3759
31,3939
28,4048
33,4115
18,4002
26,3800
35,3779
21,4186
24,3801
18,3921
29,3835
27,3950
24,4102
28,4154
37,3763
26,4098
38,4195
32,3877
22,4128
33,4164
30,4165
39,3872
16,3800
36,3722
30,3687
39,4055
34,4069
33,4102
23,4036
18,3818
28,3756
27,4148
23,4156
19,3867
22,3671
33,3971
16,3716
32,4103
18,4040
28,4171
24,3824
24,3900
23,3854
21,3692
27,4155
39,3799
25,4132
29,3881
16,4172
23,3963
33,3883
18,4020
16,3746
30,3831
21,4197
18,3669
26,4024
17,4001
16,4065
27,3725
38,4086
28,4125
24,3730
21,3993
20,4069
38,3788
21,4132
32,3847
23,3900
39,3977
34,3941
31,3846
19,4074
36,3729
31,4016
24,4013
30,3744
23,3913
24,3824
29,3882
40,4128
30,4176
20,3715
17,4115
19,3637
38,4177
39,3956
39,4064
20,3930
17,3807
29,3840
29,3972
21,4196
26,3856
39,3851
21,4159
19,3918
36,4142
16,3790
18,3700
16,3808
19,4014
30,3898
30,4057
35,3684
40,4107
40,4124
24,3640
39,3749
16,3954
40,4118
23,3991
20,4110
22,3655
29,3694
21,4095
38,3993
33,4016
20,3736
26,3764
19,3899
22,4164
24,4037
30,3919
16,3833
28,3906
22,3687
16,3741
25,3903
16,3989
27,3763
20,3699
31,3979
28,3948
37,3820
26,3812
28,3982
30,3988
34,3671
23,4023
26,3710
27,3999
18,3712
37,3682
30,3853
34,4144
32,3912
21,4014
20,4166
18,3664
30,3743
28,3849
24,4029
23,3909
29,3994
23,4015
20,3922
31,3869
27,3997
19,3688
26,3805
25,4133
25,3727
33,3815
33,4194
23,4103
24,4009
16,3618
27,4112
26,3934
24,3920
34,3952
19,4118
38,4058
19,4047
31,3952
39,4185
35,4194
26,4098
32,4173
23,3818
19,3634
40,4071
30,3771
34,3806
22,3765
22,3790
26,3686
40,4141
20,3861
28,4009
23,4117
20,3938
36,4153
23,3635
20,3778
19,4122
36,3920
32,4084
33,3861
32,3744
37,4013
20,3666
38,3871
39,3911
40,3748
25,4006
33,3675
23,4017
40,4185
30,3926
25,4080
16,3843
24,3921
35,3792
26,3801
40,3953
37,3904
23,3801
40,3843
22,3798
19,4099
39,4165
25,3931
17,3955
20,3868
26,3722
17,3844
16,4085
30,4058
28,4053
24,3727
24,3775
30,3729
29,3862
37,3774
18,3815
26,3682
40,4135
18,3975
37,3831
25,4013
27,4079
22,4076
31,3836
24,3854
17,4167
17,4177
30,4091
33,3808
36,4120
21,3982
32,3829
39,4072
22,3635
38,4129
38,3696
30,4168
16,3835
18,3627
31,4041
29,3984
39,4114
18,4191
26,3727
32,3713
34,3698
30,3889
23,4197
19,4113
21,3899
29,4036
30,3790
29,3958
17,3821
34,4158
40,4180
35,4176
19,3834
35,4034
26,3940
35,3883
17,3749
22,3677
22,3727
34,3964
26,4124
19,4120
34,3777
23,3866
18,4127
26,4123
34,3819
17,3971
24,3636
23,4198
24,4165
18,3830
35,3755
20,3995
31,4081
31,3942
38,3790
36,3717
35,4106
20,3820
35,3831
31,3809
20,3718
19,3692
33,4032
29,3938
20,3908
37,3965
39,3763
30,3882
16,3704
28,4051
24,3916
17,3636
36,3978
30,4184
25,3754
27,3814
39,3804
28,3972
26,4027
31,3718
18,3977
31,3671
39,4037
37,3691
21,3701
38,3899
24,3739
37,4055
19,3664
20,3692
20,4025
36,3984
17,3970
29,3751
19,3974
29,4176
21,3760
28,4033
30,4034
40,3951
17,4114
16,4145
37,3950
28,4040
35,3963
38,4170
39,3807
24,4077
23,3650
16,4192
17,4043
31,3856
19,4185
35,3823
38,3720
17,4149
18,3934
30,3875
33,3930
34,3878
25,4060
36,3776
20,4154
16,3729
36,3930
33,3945
26,3807
17,4009
27,4151
25,3945
26,3970
26,4176
33,4074
20,3792
22,3710
39,4191
24,3717
25,3683
32,4128
22,3675
40,4117
33,4166
18,3616
26,3704
40,3763
30,3668
35,4006
32,4140
39,4182
35,4145
16,3675
39,3912
22,3661
22,3865
37,4136
21,3630
30,3769
26,3932
39,3716
36,4011
20,4166
28,3953
38,3935
33,3924
40,3877
28,3669
20,4158
40,3949
18,3754
19,3687
21,4198
28,4159
23,4060
40,3953
34,3867
34,4097
22,3867
40,3822
17,4042
30,3829
40,4007
21,3766
25,3937
33,4200
22,4160
21,4014
23,3842
30,4123
21,3903
21,3859
24,3946
24,4062
22,3922
24,4068
27,3911
17,4085
38,3926
33,3688
30,3864
33,3911
33,3804
25,3929
36,4032
37,3743
36,3729
19,4148
26,4199
17,3747
35,3761
28,4102
20,3699
20,3906
29,3773
22,3638
39,3969
38,4102
28,3675
29,3890
34,4077
27,4116
16,3655
28,4157
23,3947
26,4114
19,4055
28,4083
34,3948
25,4145
30,3792
31,3767
36,3931
32,3849
23,3987
30,4060
27,3888
36,4150
30,3906
18,3741
19,3956
19,3737
19,4149
33,3832
40,4024
35,3687
40,3749
34,3793
17,3876
25,3710
17,3733
33,3966
31,3841
23,3997
22,4169
16,3828
31,3889
20,3954
32,4068
26,3747
25,4100
40,4072
35,3681
28,4089
30,4032
22,3889
40,3842
27,3813
37,3695
31,3739
30,3923
23,3870
26,4122
34,3864
17,4181
31,3827
35,3698
18,3912
30,3758
27,3732
38,3741
16,4080
28,3765
20,4043
39,4083
22,3874
20,3815
21,3878
19,3945
28,4166
21,3805
26,3949
35,3918
18,3997
16,3877
38,3908
23,4139
22,4160
22,4171
36,4195
28,3986
16,3848
31,3786
39,3940
19,3704
20,3743
18,3887
35,3841
31,3815
22,4049
21,4041
18,3976
23,3876
34,3753
27,3645
33,3808
38,3934
39,3868
37,3781
40,4095
17,4189
31,3878
17,3660
28,4044
18,3754
35,3949
31,4150
31,4112
32,3761
36,4157
37,3911
30,4116
19,3869
38,4098
18,3903
30,3746
22,3910
37,3771
33,4124
22,4187
25,3788
30,3834
38,3775
22,4021
20,3937
34,4063
32,3889
38,4079
23,3875
39,4107
38,4139
24,4199
18,3727
24,4025
36,3679
20,3725
25,3648
32,4138
25,4027
22,4192
36,3772
32,3801
19,3886
34,4182
31,4095
18,4040
37,3806
32,4090
27,4066
39,4070
35,4079
30,3890
27,3778
23,3715
29,4117
40,3738
40,4052
25,3914
20,3775
21,3818
38,3935
21,3950
16,4010
33,3897
31,4015
38,4148
16,3731
37,4004
19,3867
35,3973
37,3959
30,4152
32,3721
37,3963
23,4169
18,4049
16,4180
36,3869
34,3982
39,3764
35,4170
21,3826
38,3957
23,4139
28,4065
27,4103
24,3697
40,4119
28,3818
25,3934
35,3783
20,3848
17,3631
38,4097
17,4076
36,3999
29,4007
35,4178
28,4089
28,3947
36,4178
38,4078
35,3819
29,3909
16,4112
28,3682
20,3624
29,4178
30,3674
23,4044
20,3855
16,4152
28,3829
22,3972
16,3622
26,4186
32,4102
37,3684
30,3711
32,3730
40,3948
26,3817
29,4166
28,4151
37,3973
24,4096
35,3677
40,3794
31,3848
37,4130
28,4129
23,4169
20,3869
24,4062
37,3955
34,4157
32,3910
39,3952
40,4183
35,3955
22,3664
36,3941
16,3897
20,3864
18,3632
33,3710
20,4148
34,3795
32,3678
26,4084
39,4035
22,4144
36,3682
16,3928
35,3895
21,3912
38,3931
35,4193
37,4068
32,3712
38,3954
36,3775
34,3680
19,3881
40,3772
29,3926
39,3949
19,4012
36,4066
23,3647
22,3992
16,3706
34,3946
30,3887
24,3908
26,3749
31,3714
20,3709
16,4114
22,3645
31,4138
33,3800
31,3868
32,3962
23,4021
29,4064
20,3629
36,4125
35,3894
21,3969
35,4159
40,4106
22,3680
22,3777
40,4106
22,4159
20,3945
21,3843
31,3763
33,4093
30,4110
35,3860
17,3807
26,4179
36,3764
31,3964
16,3790
37,4076
30,3795
34,3707
20,3768
19,3638
19,4000
40,3868
34,3781
28,3797
32,3750
37,3790
36,4167
33,4126
36,4051
38,3968
25,4132
27,3942
34,3795
23,3669
39,4047
40,4012
40,4058
16,3678
32,4142
18,3894
40,3813
37,3964
22,3997
32,4177
26,3933
18,3618
22,3817
23,3656
39,4127
35,3738
26,3955
23,3686
39,3896
26,3984
35,3790
27,3947
30,4129
18,4037
26,3747
31,3933
19,3918
26,4146
27,3670
21,3678
38,3744
28,3747
19,3953
37,3946
37,4194
40,4071
33,3693
28,3848
19,4032
38,3874
17,3947
20,3733
40,3774
38,4014
40,3709
35,3773
16,3869
29,3826
17,4029
17,3877
30,4171
25,3904
20,3671
39,3776
18,4083
27,4012
24,3844
23,3703
40,3929
18,3939
21,3852
40,3739
32,4057
27,3801
24,4092
37,4166
30,3768
21,4037
25,4001
22,3991
39,3888
20,3759
21,4017
29,4032
37,4196
18,3717
22,3928
24,3897
30,3887
16,3969
32,4119
36,3990
39,3964
24,3868
36,4051
16,4059
31,3799
40,3900
37,3784
32,3671
26,3728
20,4198
18,4026
27,3867
34,4170
38,4121
37,3885
40,3994
21,4016
26,4016
18,4079
31,4062
26,4087
25,3957
18,4161
29,3918
37,4073
28,3658
40,3944
29,3924
22,3752
17,3790
30,3750
19,3991
27,3842
20,3861
37,3853
16,4132
18,3764
29,3772
35,4138
34,3839
32,3733
23,3783
35,4050
16,4020
27,4057
34,4142
31,3838
26,4038
21,3986
30,3756
34,3994
21,3893
31,3991
40,4126
25,3994
35,3824
17,3658
24,3779
22,3788
28,3838
37,4094
40,3900
36,3983
39,3870
19,3728
27,4111
33,4199
27,4173
24,3715
36,3813
27,3863
34,3851
37,3870
32,4012
40,3722
20,3637
24,3907
24,4004
16,3893
35,3912
32,3695
27,4141
17,3753
31,4182
34,3971
19,3939
20,3649
35,3811
29,4070
27,3895
37,3907
21,3968
20,3793
38,4131
40,4053
38,3971
30,4185
27,3687
17,3979
21,4147
33,3999
22,4086
32,3916
19,3795
17,4093
22,3668
31,4194
39,3891
28,3758
22,3818
38,3930
16,4133
39,3726
33,3753
24,3963
39,3877
19,3733
33,3846
31,3812
38,3750
33,3756
24,3777
31,4197
25,4118
27,3862
23,3842
28,4146
17,4133
35,3975
22,3729
39,3868
22,4148
35,3896
38,4198
17,4161
27,3835
36,4141
16,3704
35,3854
31,4123
27,4085
16,4194
36,4005
35,4186
29,3946
33,4063
26,3715
22,3865
18,3641
19,4165
21,3853
20,4080
37,4000
36,3941
26,3800
22,3994
28,3935
17,3681
31,3750
24,3824
20,3708
16,3866
38,3917
31,3977
37,4055
36,3940
36,4021
20,3709
29,4082
35,3744
37,4029
34,3808
35,3684
16,3983
25,3679
36,4166
25,3680
24,4051
25,3779
29,3892
17,4050
25,3999
17,4083
20,3959
24,4108
20,4167
33,3850
17,4043
17,4163
29,3742
37,3750
29,3964
39,4025
38,4110
20,3976
37,4037
25,3863
35,3688
17,3886
35,3805
37,3728
19,3626
17,3960
32,3765
16,3732
20,3861
28,4085
28,3761
35,3956
39,3839
40,4169
20,4008
19,4096
20,4045
32,4093
23,3884
23,3977
37,3922
17,3772
23,3865
25,4076
16,3905
23,4178
24,4055
31,3995
16,3637
20,4033
31,3880
25,4098
22,4080
19,3787
33,3780
35,3676
34,4056
38,3988
35,3707
27,4045
31,4035
17,4104
17,3857
21,4133
32,4030
29,3920
20,3642
30,3981
23,3860
28,3785
37,3820
20,3958
25,3641
35,3804
32,4055
27,4179
34,3979
40,3769
30,3850
26,4157
31,3882
18,3971
26,3680
16,4140
26,3983
40,4157
40,3708
34,3892
19,4036
33,4048
30,3719
31,4092
33,3995
28,3927
19,3910
36,3917
31,4101
29,3978
37,4108
19,3979
39,3864
37,3768
25,3988
29,3815
21,4046
38,4162
32,4108
21,3766
38,3795
21,4117
36,4159
26,3951
36,3938
24,3660
18,3742
37,4156
34,4192
22,3982
18,3667
30,4087
37,3837
24,3655
33,3986
17,3786
16,3725
34,4003
18,3754
34,3784
21,3701
38,4193
35,4032
32,3864
21,3845
27,4036
23,3839
30,3918
27,3916
31,3740
20,3713
36,3986
30,4036
31,3677
33,3707
20,4132
27,3649
32,3897
27,4061
28,4069
19,3845
38,3949
21,3781
39,3766
22,3833
34,4144
17,4195
16,4170
31,3822
19,4164
32,3957
26,3864
17,3949
36,3767
23,3980
39,4083
23,3837
26,3815
29,4165
34,3919
31,3707
17,3614
18,3774
24,3939
34,3778
30,4108
18,4004
24,3817
23,4013
37,3878
29,3998
40,3926
32,4191
30,3742
25,3861
25,4101
24,3920
33,3757
17,3735
16,3853
20,3725
28,4151
21,4038
27,3697
25,3646
29,3653
37,4095
22,4074
17,4166
39,3903
33,3915
22,3681
35,3765
34,3810
37,4191
27,3693
31,4177
17,3699
35,4022
40,4073
17,3682
17,3615
37,3989
40,3733
24,3681
22,3939
18,3636
18,3959
22,3949
37,3887
16,3657
18,4171
17,3929
39,4051
21,4039
30,3744
30,3704
17,4035
33,3830
36,3786
40,4128
26,3852
25,4197
25,4114
24,3737
23,3995
23,3951
38,4181
40,4016
17,3709
28,3834
20,3715
37,3778
23,4161
40,3761
19,3743
32,4018
28,3976
21,3965
17,3977
18,3766
26,4175
37,3878
18,3964
31,3998
23,4112
27,3726
22,3997
31,4187
23,3784
26,3928
29,4070
31,4132
19,3703
25,3864
32,3950
22,3861
23,3737
36,4046
24,3740
29,4134
23,4049
38,3866
26,3875
39,4001
39,3997
23,3859
37,4113
17,3711
33,4091
16,3923
31,3922
31,3819
25,3700
29,3996
35,3878
18,4111
19,3978
35,3898
36,3726
31,3723
31,3919
17,3753
35,3849
38,3889
19,3724
20,4105
39,3788
21,3836
16,4031
26,3955
36,4105
30,3855
27,3896
37,3687
38,3990
38,3808
24,3826
36,4007
40,4189
